city,date,demand_mean,demand_min,demand_max,demand_sum,demand_std,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,humidity_min,humidity_max,windSpeed_mean,windSpeed_max
dallas,2018-06-19,17140.765,16696.59,17584.94,34281.53,628.1583090670684,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-20,18726.83,17203.24,20250.42,37453.66,2154.6816414960203,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-22,16611.885000000002,14779.03,18444.74,33223.770000000004,2592.048398863339,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-23,20780.6,20780.6,20780.6,20780.6,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-25,21833.49,21833.49,21833.49,21833.49,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-27,17703.2225,14498.04,22553.84,70812.89,3719.9646667531206,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-28,16829.364999999998,14121.3,19537.43,33658.729999999996,3829.782250787895,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-29,19635.64,19635.64,19635.64,19635.64,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-06-30,13930.64,13930.64,13930.64,13930.64,,69.07,69.07,69.07,,71.0,71.0,71.0,6.78,6.78
dallas,2018-07-01,13026.49,12803.43,13249.55,26052.98,315.4544772229419,69.07,69.07,69.07,0.0,71.0,71.0,71.0,6.78,6.78
dallas,2018-07-04,12803.43,12803.43,12803.43,12803.43,,78.85,78.85,78.85,,70.0,70.0,70.0,4.5,4.5
dallas,2018-07-05,12803.43,12803.43,12803.43,38410.29,0.0,88.20333333333333,84.19,91.74,3.797503565940834,53.333333333333336,47.0,61.0,13.903333333333334,14.68
dallas,2018-07-06,12803.43,12803.43,12803.43,25606.86,0.0,93.03,89.68,96.38,4.73761543394986,44.5,37.0,52.0,5.965,6.48
dallas,2018-07-07,13265.295,12803.43,13727.16,26530.59,653.1757469854492,86.29499999999999,81.1,91.49,7.346839456528224,59.0,49.0,69.0,5.34,5.88
